WeightClass,VehicleApplication,Configuration,Powertrain,FuelEfficiencyUS,FuelEfficiencyCAD,Maintenance,Default_price,NOx EF,PM2.5 EF,GHG EF,,,,,,,
Class 2b,Freight and Cargo,Cargo Van,Battery electric,0.63,0.39,0.14,85000,0,0,,,,,,,,
Class 2b,Freight and Cargo,Chassis Cab,Battery electric,0.79,0.49,0.14,71425,0,0,,,,,,,,
Class 3,Freight and Cargo,Step Van,Battery electric,0.95,0.59,0.14,137955,0,0,,,,,,,,
Class 4,Freight and Cargo,Cargo Van,Battery electric,0.95,0.59,0.14,192200,0,0,,,,,,,,
Class 4,Freight and Cargo,Chassis Cab,Battery electric,0.95,0.59,0.14,164450,0,0,,,,,,,,
Class 4,Freight and Cargo,Box Truck,Battery electric,0.95,0.59,0.14,212900,0,0,,,,,,,,
Class 6,Freight and Cargo,Box Truck,Battery electric,1.67,1.04,0.25,424432,0,0,,,,,,,,
Class 6,Freight and Cargo,Step Van,Battery electric,1.61,1.00,0.18,279476,0,0,,,,,,,,
Class 6,Freight and Cargo,Chassis Cab,Battery electric,1.37,0.85,0.25,352032,0,0,,,,,,,,
Class 7,Freight and Cargo,Box Truck,Battery electric,2.12,1.32,0.25,494993,0,0,,,,,,,,
Class 8,Specialized Services,Refuse,Battery electric,4.51,2.80,2.65,852829,0,0,,,,,,,,
Class 8,Freight and Cargo,Tractor,Battery electric,2.51,1.56,0.26,613519,0,0,,,,,,,,
Class 8,Specialized Services,Fire Truck,Battery electric,0.51,0.32,1.33,2450000,0,0,,,,,,,,
Class 4,Passenger Transport,Passenger Van,Battery electric,0.95,0.59,0.25,178900,0,0,,,,,,,,
Class 4,Passenger Transport,Shuttle Bus,Battery electric,1.06,0.66,0.20,313580,0,0,,,,,,,,
Type A,Passenger Transport,School Bus,Battery electric,1.08,0.67,0.08,348548,0,0,,,,,,,,
Type C,Passenger Transport,School Bus,Battery electric,1.77,1.10,0.11,416117,0,0,,,,,,,,
Type D,Passenger Transport,School Bus,Battery electric,1.93,1.20,0.11,510045,0,0,,,,,,,,
Class 8 40ft,Passenger Transport,Transit Bus,Battery electric,2.08,1.29,0.71,1130000,0,0,,,,,,,,
Class 8,Passenger Transport,Coach Bus,Battery electric,2.51,1.56,0.71,1400000,0,0,,,,,,,,
Class 2b,Freight and Cargo,Cargo Van,Diesel,13.90,16.92,0.22,68000,0.165,0.001,456.4748201,,,,,,,
Class 2b,Freight and Cargo,Chassis Cab,Diesel,13.90,16.92,0.22,58000,0.165,0.001,456.4748201,,,,,,,
Class 3,Freight and Cargo,Step Van,Diesel,10.50,22.40,0.22,68000,0.165,0.001,604.2857143,,,,,,,
Class 4,Freight and Cargo,Cargo Van,Diesel,10.50,22.40,0.22,120000,0.165,0.001,604.2857143,,,,,,,
Class 4,Freight and Cargo,Chassis Cab,Diesel,11.00,21.38,0.22,120000,0.165,0.001,576.8181818,,,,,,,
Class 4,Freight and Cargo,Box Truck,Diesel,11.00,21.38,0.22,155000,0.165,0.001,576.8181818,,,,,,,
Class 6,Freight and Cargo,Box Truck,Diesel,8.00,29.40,0.31,170000,0.598,0.002,793.125,,,,,,,
Class 6,Freight and Cargo,Step Van,Diesel,8.50,27.67,0.27,185000,0.598,0.002,746.4705882,,,,,,,
Class 6,Freight and Cargo,Chassis Cab,Diesel,8.70,27.04,0.31,260000,0.598,0.002,729.3103448,,,,,,,
Class 7,Freight and Cargo,Box Truck,Diesel,7.00,33.60,0.31,210000,0.469,0.002,906.4285714,,,,,,,
Class 8,Specialized Services,Refuse,Diesel,5.72,41.12,3.96,442000,1.523,0.003,1109.265734,,,,,,,
Class 8,Freight and Cargo,Tractor,Diesel,5.85,40.21,0.30,175000,1.481,0.013,1084.615385,,,,,,,
Class 8,Specialized Services,Fire Truck,Diesel,3.50,67.20,1.99,1700000,0.165,0.001,1812.857143,,,,,,,
Class 4,Passenger Transport,Passenger Van,Diesel,15.00,15.68,0.40,135000,0.121,0.001,423,,,,,,,
Class 4,Passenger Transport,Shuttle Bus,Diesel,9.00,26.14,0.33,230000,0.598,0.002,705,,,,,,,
Type A,Passenger Transport,School Bus,Diesel,9.00,26.14,0.14,181250,0.633,0.004,705,,,,,,,
